GEO_ID,NAME,TOTAL UNITS,MOBILE UNITS,RATIO
37133,"Onslow County, North Carolina",78501,1.1,0.01401256
37135,"Orange County, North Carolina",57502,0.8,0.01391256
37137,"Pamlico County, North Carolina",7721,2.9,0.375599016
37139,"Pasquotank County, North Carolina",17108,1.4,0.081833061
37141,"Pender County, North Carolina",28601,1.6,0.0559421
37143,"Perquimans County, North Carolina",7136,3.4,0.476457399
37145,"Person County, North Carolina",18428,2.3,0.124810072
37147,"Pitt County, North Carolina",78563,0.9,0.011455774
37149,"Polk County, North Carolina",11674,2.2,0.188452972
37151,"Randolph County, North Carolina",62147,1.2,0.019309058
37153,"Richmond County, North Carolina",21380,2,0.09354537
37155,"Robeson County, North Carolina",53065,1,0.018844813
37157,"Rockingham County, North Carolina",43977,1.5,0.034108739
37159,"Rowan County, North Carolina",61329,1,0.0163055
37161,"Rutherford County, North Carolina",34275,1.7,0.049598833
37163,"Sampson County, North Carolina",27610,1.7,0.061571894
37165,"Scotland County, North Carolina",15295,1.5,0.098071265
37167,"Stanly County, North Carolina",27638,1.3,0.047036689
37169,"Stokes County, North Carolina",22186,2.3,0.10366898
37171,"Surry County, North Carolina",34030,1.6,0.047017338
37173,"Swain County, North Carolina",8951,2.9,0.323986147
37175,"Transylvania County, North Carolina",19560,1.9,0.097137014
37177,"Tyrrell County, North Carolina",2229,5.7,2.557200538
37179,"Union County, North Carolina",79644,0.6,0.007533524
37181,"Vance County, North Carolina",20117,2.2,0.109360243
37183,"Wake County, North Carolina",421426,0.2,0.000474579
37185,"Warren County, North Carolina",11948,2.7,0.225979243
37187,"Washington County, North Carolina",6458,4.5,0.696810158
37189,"Watauga County, North Carolina",33520,1,0.029832936
37191,"Wayne County, North Carolina",54074,1.3,0.024041129
37193,"Wilkes County, North Carolina",33480,1.6,0.047789725
37195,"Wilson County, North Carolina",36005,0.9,0.024996528
37197,"Yadkin County, North Carolina",17401,2.3,0.132176312
37199,"Yancey County, North Carolina",11211,2.8,0.249754705
